id_aluno,data_matricula,data_cancelamento,plano,valor_mensalidade,unidade,modalidade_principal,idade,frequencia_semanal,usa_app,checkins_app_mes,outlier_frequencia_semanal,outlier_valor_mensalidade,outlier_checkins_app_mes,outlier_origem,evadiu,status,dias_vinculo,meses_vinculo,evasao_precoce,receita_acumulada,coorte_mes,faixa_etaria,segmento_engajamento,outlier_receita_acumulada,outlier_dias_vinculo,outlier_derivada,outlier_qualquer
1,2024-05-01,2024-10-17,Trimestral,109.9,Zona Oeste,Musculacao,44,2.51,True,10,False,False,False,False,True,Cancelado,169,5.55,False,609.95,2024-05,35-44,Medio-Digital,False,False,False,False
2,2024-01-03,,Mensal,123.4,Centro,Musculacao,24,6.49,True,17,False,False,False,False,False,Ativo,728,23.92,False,2951.73,2024-01,16-24,Alto,False,False,False,False
3,2024-08-13,2025-03-01,Anual,85.4,Zona Leste,Spinning,36,3.31,False,0,False,False,False,False,True,Cancelado,200,6.57,False,561.08,2024-08,35-44,Medio-Presencial,False,False,False,False
4,2025-07-26,,Trimestral,104.4,Zona Leste,Yoga,53,4.2,False,0,False,False,False,False,False,Ativo,158,5.19,False,541.84,2025-07,45-54,Medio-Presencial,False,False,False,False
5,2025-06-13,,Mensal,123.4,Centro,Yoga,48,4.37,True,14,False,False,False,False,False,Ativo,201,6.6,False,814.44,2025-06,45-54,Alto,False,False,False,False
6,2024-08-02,,Anual,89.9,Zona Oeste,Musculacao,28,4.89,False,0,False,False,False,False,False,Ativo,516,16.95,False,1523.8,2024-08,25-34,Medio-Presencial,False,False,False,False
7,2024-12-29,,Trimestral,109.9,Zona Oeste,Musculacao,24,3.64,True,13,False,False,False,False,False,Ativo,367,12.06,False,1325.39,2024-12,16-24,Alto,False,False,False,False
8,2025-11-02,,Trimestral,109.9,Zona Oeste,Spinning,50,6.58,True,23,False,False,False,False,False,Ativo,59,1.94,False,213.21,2025-11,45-54,Alto,False,False,False,False
9,2025-05-18,2025-10-10,Mensal,129.9,Zona Leste,Musculacao,46,3.8,True,12,False,False,False,False,True,Cancelado,145,4.76,False,618.32,2025-05,45-54,Alto,False,False,False,False
10,2025-06-15,,Mensal,129.9,Zona Oeste,Crossfit,32,2.23,True,8,False,False,False,False,False,Ativo,199,6.54,False,849.55,2025-06,25-34,Medio-Digital,False,False,False,False
11,2024-03-02,,Mensal,129.9,Zona Leste,Musculacao,29,3.26,False,0,False,False,False,False,False,Ativo,669,21.98,False,2855.2,2024-03,25-34,Medio-Presencial,False,False,False,False
12,2024-06-17,2024-11-12,Anual,89.9,Zona Leste,Funcional,31,1.84,False,0,False,False,False,False,True,Cancelado,148,4.86,False,436.91,2024-06,25-34,Baixo,False,False,False,False
13,2024-03-13,,Trimestral,98.91,Zona Oeste,Musculacao,34,3.82,True,13,False,False,False,False,False,Ativo,658,21.62,False,2138.43,2024-03,25-34,Alto,False,False,False,False
14,2025-11-16,,Trimestral,109.9,Zona Oeste,Funcional,50,4.36,True,16,False,False,False,False,False,Ativo,45,1.48,False,162.65,2025-11,45-54,Alto,False,False,False,False
15,2024-08-27,,Mensal,129.9,Centro,Crossfit,37,4.28,True,17,False,False,False,False,False,Ativo,491,16.13,False,2095.29,2024-08,35-44,Alto,False,False,False,False
16,2024-12-15,,Mensal,129.9,Zona Leste,Spinning,40,3.91,True,13,False,False,False,False,False,Ativo,381,12.52,False,1626.35,2024-12,35-44,Alto,False,False,False,False
17,2025-01-21,,Trimestral,109.9,Zona Leste,Musculacao,45,3.06,True,11,False,False,False,False,False,Ativo,344,11.3,False,1241.87,2025-01,45-54,Alto,False,False,False,False
18,2025-01-01,,Mensal,123.4,Centro,Funcional,19,3.08,True,8,False,False,False,False,False,Ativo,364,11.96,False,1475.86,2025-01,16-24,Alto,False,False,False,False
19,2024-02-06,2024-04-13,Trimestral,109.9,Zona Leste,Spinning,40,3.33,True,8,False,False,False,False,True,Cancelado,67,2.2,False,241.78,2024-02,35-44,Alto,False,False,False,False
20,2025-09-28,,Trimestral,109.9,Zona Leste,Yoga,33,5.16,True,14,False,False,False,False,False,Ativo,94,3.09,False,339.59,2025-09,25-34,Alto,False,False,False,False
21,2024-09-23,,Trimestral,109.9,Zona Leste,Musculacao,41,3.26,True,0,False,False,False,False,False,Ativo,464,15.24,False,1674.88,2024-09,35-44,Alto,False,False,False,False
22,2025-10-04,,Mensal,129.9,Zona Oeste,Crossfit,27,2.43,False,0,False,False,False,False,False,Ativo,88,2.89,False,375.41,2025-10,25-34,Baixo,False,False,False,False
23,2025-06-19,,Anual,89.9,Centro,Musculacao,21,2.34,True,10,False,False,False,False,False,Ativo,195,6.41,False,576.26,2025-06,16-24,Medio-Digital,False,False,False,False
24,2025-05-02,,Anual,80.91,Zona Oeste,Musculacao,38,7.0,True,26,False,False,False,False,False,Ativo,243,7.98,False,645.66,2025-05,35-44,Alto,False,False,False,False
25,2025-05-07,,Trimestral,109.9,Zona Oeste,Musculacao,33,5.63,True,22,False,False,False,False,False,Ativo,238,7.82,False,859.42,2025-05,25-34,Alto,False,False,False,False
26,2025-11-15,,Mensal,129.9,Zona Leste,Musculacao,34,2.48,False,0,False,False,False,False,False,Ativo,46,1.51,False,196.15,2025-11,25-34,Baixo,False,False,False,False
27,2024-07-31,,Mensal,129.9,Zona Leste,Musculacao,53,1.44,True,3,False,False,False,False,False,Ativo,518,17.02,False,2210.9,2024-07,45-54,Medio-Digital,False,False,False,False
28,2024-08-18,,Mensal,129.9,Zona Oeste,Funcional,18,1.67,True,5,False,False,False,False,False,Ativo,500,16.43,False,2134.26,2024-08,16-24,Medio-Digital,False,False,False,False
29,2025-04-14,,Mensal,116.91,Zona Leste,Musculacao,32,4.88,True,20,False,False,False,False,False,Ativo,261,8.57,False,1001.92,2025-04,25-34,Alto,False,False,False,False
30,2024-06-11,2024-08-16,Trimestral,109.9,Zona Leste,Musculacao,35,1.52,False,0,False,False,False,False,True,Cancelado,66,2.17,False,238.48,2024-06,35-44,Baixo,False,False,False,False
