id_aluno,data_matricula,data_cancelamento,plano,valor_mensalidade,unidade,modalidade_principal,idade,frequencia_semanal,usa_app,checkins_app_mes
1496,2025-11-25,,Trimestral,109.9,Zona Oeste,Musculacao,30.0,5.57,True,23.0
544,2024-12-16,2025-01-18,anual,89.9,Centro,Funcional,,2.2,False,0.0
1269,2024-06-12,2024-08-14,Mensal,123.4,Centro,Funcional,41.0,1.05,False,0.0
529,2024-11-03,,Trimestral,109.9, Zona Oeste ,Musculacao,16.0,3.14,True,11.0
1095,2024-04-29,,Trimestral,109.9,Zona Leste,,39.0,5.83,True,
808,13/05/2024,,Mensal,129.9,Zona Leste,Crossfit,35.0,3.54,True,16.0
934,2025-09-22,,Trimestral,104.4,Zona Leste,Funcional,37.0,1.45,False,0.0
1118,2024-10-24,,Trimestral,109.9,Centro,Spinning,42.0,4.29,True,17.0
1204,2025-04-18,2025-05-18,Trimestral,109.9,Centro,Crossfit,47.0,1.02,True,2.0
1175,2025-11-25,,Mensal,129.9,Zona Oeste,Yoga,46.0,2.05,False,0.0
429,2024-09-06,2025-02-01,Mensal,129.9,Zona Leste,Musculacao,25.0,2.53,False,0.0
1409,2024-04-23,,Anual ,85.4, Centro ,Musculacao,,1.62,True,6.0
1293,2024-04-30,2024-09-18,Trimestral,104.4,Zona Oeste,Yoga,37.0,2.81,False,0.0
317,2024-06-01,2024-09-12,Mensal,129.9,Zona Oeste,Musculacao,34.0,3.97,False,0.0
31,2025-07-16,,Trimestral,109.9,Zona Leste,Musculacao,24.0,3.36,True,12.0
969,2024-07-18,,Trimestral,-104.4,Zona Oeste,Musculacao,39.0,2.95,False,0.0
307,2024-06-09,2024-07-18,Mensal,129.9,Zona Leste,Crossfit,19.0,1.74,True,13.0
937,2025-08-24,2025-09-12,Anual,89.9, Zona Oeste ,Funcional,38.0,,True,5.0
579,09/04/2025,,Anual,89.9, Zona Leste ,Spinning,17.0,3.41,True,9.0
340,2024-12-04,2025-03-24,Anual,89.9,Zona Oeste,Funcional,30.0,2.04,True,5.0
480,25/01/2025,,MENSAL,129.9,Zona Leste,Spinning,33.0,5.01,True,18.0
678,2024-04-27,,Mensal,129.9, Centro ,Musculacao,1.0,2.27,False,0.0
608,2025-04-02,,Mensal,129.9,Centro,Yoga,34.0,0.74,False,0.0
372,2024-04-01,,Mensal,129.9,Zona Leste,Funcional,66.0,2.55,True,14.0
469,2025-09-28,,Mensal,129.9,Zona Oeste,Crossfit,41.0,3.46,True,16.0
276,2025-08-28,,Mensal,129.9,Zona Oeste,Musculacao,43.0,3.28,True,11.0
1048,2025-05-30,,Trimestral,104.4,Zona Leste,Funcional,36.0,3.36,False,
933,28/11/2024,2025-03-15,Mensal,116.91,Zona Oeste,Yoga,20.0,1.0,True,4.0
702,2024-01-11,2024-02-06,MENSAL,129.9, Centro ,Funcional,30.0,1.57,False,
487,2024-04-15,2024-08-10,Mensal,129.9, Zona Leste ,Spinning,46.0,1.57,True,3.0
1173,2024-01-04,2025-01-31,Mensal,349.79,Zona Leste,Spinning,41.0,1.2,False,0.0
1390,2024-08-11,2024-11-01,Mensal,129.9,Zona Leste,Crossfit,30.0,1.75,False,0.0
840,2024-02-05,,Mensal,129.9,Zona Leste,Crossfit,37.0,7.0,False,0.0
1363,2025-06-15,,Trimestral,109.9,Zona Leste,Crossfit,37.0,4.38,True,14.0
100,2024-01-04,2024-02-11,Anual,80.91,Zona Leste,Spinning,18.0,4.69,True,
847,2024-12-09,, Mensal ,129.9,Centro,,20.0,2.48,True,9.0
305,2025-07-03,,Anual,89.9,Zona Oeste,Funcional,40.0,3.39,False,0.0
463,2024-04-30,2024-05-19,Anual ,89.9,Zona Oeste,Yoga,39.0,1.95,True,9.0
384,2024-03-03,2024-11-16,Mensal,129.9,Zona Oeste,Musculacao,30.0,1.34,False,0.0
507,2024-02-26,,Mensal,129.9,Zona Oeste,Musculacao,53.0,3.47,True,12.0
484,2024-06-26,2024-10-29,Mensal,129.9,Zona Leste,Musculacao,33.0,1.62,True,8.0
169,01/06/2024,,Mensal,129.9,Zona Leste,Musculacao,26.0,,False,0.0
60,2024-01-25,,Mensal,434.53,Centro,Musculacao,,4.83,True,19.0
24,2025-05-02,,Anual,80.91,Zona Oeste,Musculacao,38.0,7.0,True,26.0
111,2025-08-28,,Mensal,129.9,Zona Leste,Crossfit,27.0,3.96,True,14.0
345,06/03/2025,,Trimestral,109.9,Zona Leste,Crossfit,24.0,4.16,True,13.0
50,2025-05-15,,Mensal,123.4,Zona Leste,Spinning,30.0,4.74,True,13.0
1287,2025-02-01,,Mensal,129.9,Zona Oeste,Musculacao,28.0,4.21,True,20.0
1023,2024-12-01,,Anual,89.9,Zona Leste,Yoga,41.0,3.83,False,
755,26/02/2025,,Trimestral,109.9, Centro ,Musculacao,,3.53,True,13.0
